sr_no,district,dlsa_tlsc,name,qualification,phone,email,empanelled_on,empanelment_expiring,gender,experience_years,specialization,hourly_rate_inr,rating,languages,address,court_practice
1,Mumbai,DLSA,Adv. Rajesh Sharma,LL.B,9111111111,advocate0@gmail.com,01 April 2023,31 March 2026,Male,5,Criminal Law,2000,4.2,"Marathi, Hindi, English","Mumbai, Maharashtra",District Court
2,Pune,DLSA,Adv. Priya Patel,B.A.LL.B,9111111111,advocate1@gmail.com,01 April 2023,31 March 2026,Female,8,Civil Law,3000,4.5,"Hindi, English","Pune, Maharashtra",High Court
3,Nagpur,DLSA,Adv. Amit Kumar,B.Com LL.B,9111111111,advocate2@gmail.com,01 April 2023,31 March 2026,Male,12,Family Law,2500,4.8,"Marathi, Hindi","Nagpur, Maharashtra",Session Court
4,Thane,DLSA,Adv. Sneha Desai,LL.M,9111111111,advocate3@gmail.com,01 April 2023,31 March 2026,Female,3,Corporate Law,4000,3.9,"English, Hindi","Thane, Maharashtra",Consumer Court
5,Nashik,DLSA,Adv. Rohan Verma,B.S.L.LL.B,9111111111,advocate4@gmail.com,01 April 2023,31 March 2026,Male,15,Property Law,1500,4.7,"Marathi, English","Nashik, Maharashtra",Family Court
6,Mumbai,DLSA,Adv. Anjali Singh,LL.B,9111111111,advocate5@gmail.com,01 April 2023,31 March 2026,Female,7,Labour Law,3500,4.1,Hindi,"Aurangabad, Maharashtra",Labour Court
7,Pune,DLSA,Adv. Vikram Mehta,B.A.LL.B,9111111111,advocate6@gmail.com,01 April 2023,31 March 2026,Male,10,Tax Law,1800,4.9,"Marathi, Hindi, English, Gujarati","Solapur, Maharashtra",District Court
8,Nagpur,DLSA,Adv. Neha Joshi,B.Com LL.B,9111111111,advocate7@gmail.com,01 April 2023,31 March 2026,Female,6,Cyber Law,2800,4.3,English,"Amravati, Maharashtra",High Court
9,Thane,DLSA,Adv. Sanjay Gupta,LL.M,9111111111,advocate8@gmail.com,01 April 2023,31 March 2026,Male,9,Intellectual Property,3200,4.6,"Marathi, Hindi, English","Kolhapur, Maharashtra",Session Court
10,Nashik,DLSA,Adv. Pooja Reddy,B.S.L.LL.B,9111111111,advocate9@gmail.com,01 April 2023,31 March 2026,Female,4,Constitutional Law,2200,4.0,"Hindi, English","Sangli, Maharashtra",Consumer Court
